Tiempo de transaccion (ms);631;2;5;3;6;2;2;689;2;2;3;4;2;2;3;8;3;2;6;2;4;2;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;2;2;7;5;1;2;1;1;1;1;5;1;3;1;1;1;1;1;3;2;2;6;1;1;2;3;4;1;1;1;1;1;2;1;1;2;1;2;2;1;2;3;1
% Antes;0.0;8.1;24.3;11.1;8.6;16.6;19.8;18.5;34.1;11.8;1.0;0.9;1.4;2.2;0.4;0.5;0.5;0.4;0.6;0.4;0.4;0.4;0.5;0.5;0.8;0.3;0.4;0.8;1.2;0.6;0.5;0.6;0.6;0.6;0.3;0.3;0.3;0.6;0.3;0.3;0.5;0.6;0.3;0.6;0.3;0.7;0.3;1.1;0.8;0.5;0.3;0.3;0.3;0.3;0.3;5.9;2.0;0.7;0.3;0.3;0.4;0.5;1.4;0.4;1.6;0.3;0.6;0.4;0.3;0.3;0.3;0.3;0.3;0.2;0.3;0.4;2.0;0.3;0.4;0.3
% Durante;0.6;54.0;18.0;15.4;12.8;8.5;18.0;18.1;23.7;23.5;13.1;11.3;25.8;13.9;15.8;31.3;17.0;30.2;15.3;24.8;27.3;24.9;24.1;31.8;17.0;13.5;27.9;33.2;6.6;26.6;32.9;27.5;14.9;15.3;15.8;15.7;26.0;15.3;23.0;16.3;13.5;24.1;35.5;35.3;15.5;11.8;28.4;4.5;23.8;30.8;15.3;26.0;15.8;17.0;23.6;27.5;16.3;12.6;35.7;29.1;14.9;16.6;15.1;24.5;31.8;16.2;15.6;39.1;16.2;43.2;36.2;17.8;42.0;15.7;9.1;25.5;17.1;20.5;12.3;34.5
% Despues;44.1;19.2;6.4;16.6;19.0;19.1;18.2;20.7;24.8;33.0;15.3;23.8;34.8;20.3;13.9;26.9;9.6;39.0;23.4;12.2;24.9;25.8;10.5;29.1;16.2;17.2;29.0;32.4;11.8;14.1;12.9;16.3;17.9;16.5;26.4;15.0;28.7;17.1;11.7;16.8;4.2;15.6;36.5;31.6;17.5;16.5;32.8;14.6;16.0;26.3;17.3;47.1;16.8;15.6;13.4;29.1;15.6;8.3;48.2;37.3;14.4;34.3;5.1;38.1;28.6;16.7;17.6;38.4;16.1;12.8;33.6;36.9;27.2;17.1;11.8;37.2;34.5;14.7;7.3;31.8
Conexiones perdidas;0
