Tiempo de transaccion (ms);640;2;1;2;2;2;1;1;2;2;4;2;2;2;3;4;3;2;5;3;2;2;3;1;1;2;3;9;2;1;2;2;4;2;1;1;2;2;3;1;2;1;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;2;2;1;4;2;3;3;2;1;1;1;1;2;1;1;2;0;1;1;1;2;2;0
% Antes;0.0;19.3;49.8;48.6;46.9;34.1;55.7;49.5;1.5;1.5;0.6;0.8;0.7;2.1;0.5;0.7;0.3;0.4;0.4;0.4;0.7;0.5;0.4;0.4;0.8;0.4;0.3;0.7;0.4;0.6;0.3;0.7;1.2;0.4;0.5;0.5;0.5;0.3;0.5;0.9;0.4;0.8;0.3;0.5;0.4;0.5;0.5;0.6;1.1;0.4;0.4;0.4;0.3;0.3;0.3;0.4;0.7;0.6;0.4;1.9;0.2;0.3;1.9;0.5;1.3;0.4;0.3;0.3;0.3;0.4;0.6;0.3;0.5;0.3;0.2;0.3;0.4;0.4;0.5;0.5
% Durante;0.6;19.7;35.1;36.4;41.4;27.5;39.1;41.4;16.9;31.3;26.7;34.7;22.2;15.9;35.0;10.3;17.1;19.2;11.8;5.6;29.4;37.1;4.0;28.6;25.7;16.6;20.3;21.4;16.2;29.9;32.0;16.6;14.5;34.2;16.7;30.4;20.5;29.9;18.7;31.5;20.7;13.3;34.2;17.7;15.6;12.3;36.4;42.0;11.9;35.3;17.0;29.1;15.3;14.0;14.9;15.1;15.7;13.0;38.8;16.9;2.5;12.7;19.2;28.5;31.4;15.8;14.6;30.5;15.2;39.5;23.3;13.1;35.4;15.7;16.1;11.6;22.9;32.3;25.1;15.7
% Despues;54.8;23.8;45.3;45.4;22.6;24.6;28.0;15.4;16.6;32.1;17.1;26.2;43.3;14.9;30.9;25.8;24.6;18.0;23.9;28.9;26.5;30.8;15.7;13.5;13.1;24.9;32.6;20.6;11.7;16.4;22.0;16.0;12.7;37.4;17.5;40.1;25.1;34.0;34.5;18.0;12.3;14.3;23.9;22.2;8.4;16.2;37.5;40.2;12.6;31.2;16.8;41.4;15.9;16.4;17.8;18.9;14.1;11.7;36.9;15.7;11.8;28.7;32.7;18.3;35.8;16.3;16.8;16.5;17.1;19.0;34.0;15.6;13.1;16.5;16.3;13.3;32.3;12.4;30.7;16.6
Conexiones perdidas;0
