Tiempo de transaccion (ms);577;3;2;2;5;2;1;2;1;3;9;2;2;2;1;13;4;5;4;3;5;2;2;1;1;2;1;11;2;2;2;1;2;2;2;3;1;3;10;3;2;4;2;1;2;1;2;2;1;2;1;2;4;1;1;1;2;1;3;2;1;4;1;2;1;1;4;0;0;2;1;2;1;1;1;1;3;1;2;1
% Antes;0.0;42.2;60.3;59.4;68.3;49.5;62.9;11.4;0.4;0.8;1.4;0.6;0.5;2.2;0.4;0.3;0.7;0.4;0.5;0.4;0.8;0.5;0.4;0.4;0.8;0.4;0.6;0.6;0.4;0.5;0.3;0.5;0.6;0.5;0.3;0.4;0.8;0.3;0.4;0.4;0.8;0.6;0.8;1.1;0.3;0.4;0.5;1.0;1.3;0.6;0.3;0.3;5.3;1.1;0.4;0.4;0.4;0.6;0.4;1.4;0.4;0.3;2.0;0.4;0.8;0.3;0.4;0.5;0.3;0.6;0.8;0.3;0.5;0.3;0.4;0.3;0.7;0.3;0.3;0.3
% Durante;0.7;52.9;59.0;54.4;54.9;80.4;73.2;19.0;15.6;27.9;11.4;27.6;29.2;15.8;10.6;1.2;9.5;10.2;21.9;18.7;11.7;33.8;23.9;26.5;26.6;17.1;26.8;23.5;14.9;19.8;35.6;29.3;22.1;35.8;24.9;16.2;20.5;12.2;3.0;28.5;38.8;14.8;26.4;34.1;15.5;17.0;36.3;50.9;15.3;23.9;17.2;20.6;32.5;15.7;17.4;18.3;16.1;12.6;34.5;12.7;16.5;26.0;28.5;20.5;27.4;16.2;4.4;33.7;17.2;18.8;17.3;4.1;31.7;13.3;9.3;15.5;7.7;23.9;23.8;14.8
% Despues;67.3;55.8;58.0;51.4;31.9;71.1;62.6;23.0;24.7;33.8;29.2;13.0;31.5;14.1;15.6;12.7;12.1;8.9;13.2;16.3;12.5;26.7;16.0;11.8;15.9;21.1;33.1;11.4;6.7;12.6;20.5;26.7;16.8;23.6;25.3;15.9;31.5;23.5;11.3;39.7;32.6;22.6;18.7;24.1;16.1;15.0;34.1;25.9;15.7;13.1;16.9;29.8;30.0;16.2;32.0;17.2;25.0;13.4;28.0;12.4;31.3;25.3;35.5;42.9;34.7;15.9;11.9;17.4;16.6;14.1;30.3;12.8;15.9;16.8;11.7;15.6;32.0;16.2;11.9;12.5
Conexiones perdidas;0
