Tiempo de transaccion (ms);595;17;3;5;4;1;2;7;1;2;4;2;1;2;2;4;3;3;6;2;2;2;2;1;1;1;4;5;2;1;1;1;1;1;2;2;1;1;2;2;2;3;10;6;1;1;2;2;4;2;1;2;1;2;3;7;7;1;1;2;2;3;9;2;1;1;2;2;1;2;2;1;3;6;9;1;1;0;2;1
% Antes;0.0;38.4;27.9;40.9;20.7;29.6;23.8;40.6;0.9;0.6;0.5;0.5;0.7;0.4;0.4;2.3;0.6;0.6;0.6;0.4;0.7;0.4;0.4;0.6;0.7;0.3;0.3;0.5;0.7;1.2;0.3;0.6;0.5;0.3;0.4;0.6;0.7;0.3;0.6;0.5;0.6;1.4;0.9;0.7;0.6;0.3;0.3;0.6;0.9;0.5;0.3;0.3;0.3;0.4;0.3;0.8;0.3;0.3;0.7;1.2;0.4;7.8;1.7;0.4;1.0;0.3;0.3;0.4;0.3;0.3;0.3;0.5;0.3;0.6;0.3;0.4;0.4;0.3;0.3;0.3
% Durante;1.1;16.1;21.1;23.2;24.4;23.4;20.5;17.8;18.2;38.6;7.3;9.3;13.8;23.9;14.8;30.7;12.8;26.2;13.7;23.2;27.6;37.8;21.8;24.4;25.3;23.5;18.0;29.8;14.3;19.7;29.8;31.1;35.9;23.7;17.2;31.4;22.4;12.5;20.6;16.6;30.1;34.2;29.7;3.8;17.2;14.9;37.5;28.7;7.4;24.0;16.4;18.7;12.5;10.0;23.1;6.1;5.3;27.8;41.7;10.3;12.8;7.9;10.9;22.8;14.0;15.2;32.0;16.3;15.4;43.6;44.3;14.0;8.3;2.6;25.3;13.9;16.9;29.5;29.7;12.0
% Despues;63.8;25.5;31.3;3.7;11.2;19.0;33.1;14.7;17.2;35.9;15.2;37.0;14.0;15.6;35.3;38.6;11.8;22.0;14.5;29.2;39.1;28.1;15.5;16.1;15.2;14.3;5.9;41.4;16.3;12.3;12.7;32.0;26.5;37.0;16.1;16.9;16.9;28.6;17.0;19.1;21.0;32.0;1.8;16.3;16.9;16.4;32.1;41.7;10.1;30.2;12.3;11.7;14.4;12.2;27.3;5.6;4.5;24.8;34.7;11.7;13.1;25.0;17.6;42.1;16.3;16.5;14.6;13.0;15.8;16.3;41.0;11.9;11.9;16.1;16.4;14.9;34.3;16.2;15.8;15.5
Conexiones perdidas;0
