Tiempo de transaccion (ms);590;8;5;4;2;3;4;11;1;1;1;2;3;1;2;3;2;2;4;2;4;2;1;2;2;3;1;5;2;1;1;4;1;2;1;1;2;2;2;2;2;2;4;7;2;1;2;2;2;1;1;1;1;2;2;1;1;1;2;2;1;3;1;4;1;2;1;2;1;2;4;5;4;2;1;1;1;2;1;1
% Antes;0.0;8.9;15.0;39.9;17.7;37.6;40.9;29.1;0.9;0.9;0.4;0.4;0.7;3.3;0.4;0.7;0.3;0.4;0.7;0.7;1.0;0.4;0.4;0.3;0.9;0.7;1.5;0.7;0.5;0.6;0.6;0.8;0.8;0.3;0.4;0.4;0.3;0.4;0.4;0.5;0.5;0.5;0.6;0.7;0.5;0.3;0.3;0.6;1.7;0.4;0.4;0.3;0.3;0.3;0.4;0.7;0.3;0.3;7.1;1.1;0.4;0.3;1.4;0.5;0.9;0.3;0.3;0.3;0.3;0.3;0.3;0.7;0.5;0.3;3.2;0.3;0.4;0.6;0.3;0.2
% Durante;0.6;3.4;14.4;26.3;20.1;21.6;27.8;10.2;17.2;33.3;20.9;19.7;18.8;12.3;37.6;10.5;22.2;22.9;34.1;12.3;13.0;38.1;16.8;22.4;24.6;27.8;27.5;39.2;15.9;22.1;32.2;19.4;31.8;29.1;16.2;30.0;16.2;12.8;20.2;29.2;17.8;21.7;14.5;6.6;17.3;14.5;33.6;41.8;13.4;50.1;17.0;25.8;11.5;15.8;15.7;15.2;16.2;11.8;30.9;16.1;14.0;22.7;25.3;19.0;37.8;14.4;13.9;17.1;16.0;41.4;44.5;5.7;5.3;10.5;15.3;11.5;17.3;27.0;25.9;21.8
% Despues;63.4;9.6;8.1;11.5;30.4;16.3;34.0;30.1;34.4;25.1;11.8;14.9;28.0;19.1;38.1;26.0;8.2;28.7;26.6;14.8;27.7;27.9;16.3;18.0;26.3;29.9;30.6;46.9;16.9;35.9;11.8;11.0;16.3;30.8;14.4;16.8;28.5;19.7;16.8;38.9;11.3;45.5;30.3;28.7;23.4;16.4;35.0;38.1;8.5;49.5;13.2;34.6;16.9;16.2;17.2;16.8;15.0;11.8;48.9;16.9;16.1;27.2;20.0;22.0;32.4;17.0;17.1;11.9;16.3;15.4;31.6;12.1;16.8;13.4;16.5;12.2;35.0;15.9;29.9;26.8
Conexiones perdidas;0
