Tiempo de transaccion (ms);351;11;194;12;21;33;12;13;21;74;47;80;18;10;10;12;81;13;11;15;7;11;8;9;8;14;21;7;12;6;10;7;9;8;10;9;8;41;11;7;8;17;19;6;21;6;10;13;9;17;4;7;11;7;15;10;5;6;16;12;6;6;11;23;7;7;7;7;6;5;4;6;3;5;3;8;12;7;5;7
% Antes;0.0;43.4;25.3;24.7;16.8;25.1;16.2;37.2;20.2;22.2;9.0;15.0;5.5;22.5;43.0;44.3;14.5;32.4;1.0;1.6;2.9;24.4;21.8;18.5;1.3;3.3;2.8;1.7;1.2;1.6;0.9;1.5;2.2;2.5;0.9;1.9;0.7;0.9;2.9;2.6;4.4;0.8;0.9;2.7;0.7;1.2;1.0;1.2;5.1;1.2;9.7;0.6;1.6;0.8;0.6;0.8;0.7;0.7;0.6;1.4;2.4;3.5;0.8;0.9;2.5;0.8;1.0;0.7;0.5;0.7;0.7;0.7;0.6;0.6;0.7;0.5;1.1;1.2;5.8;0.7
% Durante;29.6;33.3;6.9;31.0;18.6;5.9;17.2;17.9;21.4;10.8;3.9;3.1;5.8;12.8;44.0;17.8;8.6;31.4;14.1;13.6;25.3;40.1;31.1;15.8;31.9;19.8;5.1;13.5;6.5;19.9;16.2;24.7;23.3;15.2;15.6;16.6;11.6;5.1;28.0;17.4;26.5;20.6;12.8;30.2;4.4;12.4;23.1;25.3;8.4;21.1;16.2;17.4;14.8;15.4;9.0;12.1;17.0;14.3;24.5;26.1;33.0;14.5;25.2;10.1;22.2;33.9;15.1;21.8;17.8;17.3;17.9;18.0;17.9;30.5;17.4;9.0;17.6;41.3;27.1;8.1
% Despues;27.7;27.4;0.9;28.6;17.2;14.2;16.5;15.7;15.5;10.8;10.5;5.2;38.8;33.1;36.4;26.8;37.6;46.2;22.4;34.5;32.6;28.1;27.0;27.7;24.6;6.6;5.1;28.9;13.5;15.0;7.8;13.1;38.6;24.9;18.3;17.2;17.5;1.6;37.4;34.9;14.3;6.6;16.3;17.6;5.1;18.7;11.3;21.9;14.8;22.0;15.9;16.9;11.6;33.2;4.5;18.6;17.3;15.1;25.5;26.2;43.5;15.2;11.0;17.5;40.7;41.4;11.4;21.3;36.7;42.1;24.5;14.9;18.4;17.1;23.4;17.1;4.6;35.7;20.4;18.3
Conexiones perdidas;0
