Tiempo de transaccion (ms);603;7;3;5;3;3;3;2;2;2;2;667;2;2;2;4;1;1;2;1;32;2;1;6;1;3;1;1;19;2;2;1;2;1;2;1;2;1;1;1;1;2;3;1;1;2;2;3;1;1;3;1;1;2;1;1;1;3;2;2;1;3;3;2;1;1;0;1;1;2;2;1;1;1;1;1;1;1;2;1;1;1;6;1;2;4;0;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;9;1;2;1;1;1;1;2;1;0;1;1;1;1;9;1;1;3;2;0;1;1;2;1;1;2;2;1;1;1;0;0;3;1;1;1;1;0;1;0;1;1;1;0;2;0;1;1;0;0;0;1;1;4;1;1;2;1;1;1;1;1;2;0;1;1;2;1;2;1;1;3;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;3;3;1;1;1;0;0;0;3;1;1;3;1;0;1;1;1;1;2;1;0;1;1;6;1;1;1;6;0;0;1;1;0;0;1;1;1;1;1;1;2;1;1;1;1;0;1;1;0;1;1;1;2;1;1;1;1;1;1;1;0;1;1;1;1;4;3;1;1;1;3;0;0;1;1;1;1;1;1;1;0;0;2;1;1;0;1;1;1;1;1;3;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;3;1;0;1;1;1;1;1;1;0;1;0;1;0;3;1;0;1;0;0;1;0;1;1;1;1;1;4;1;1;0;0;1;1;2;1;0;0;1;1;1;1;1;1;1;0;1;4;0;6;1;1;1;0;1;1;1;1;2;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;2;0;5;0;1;0;1;5;1;1;1;1;1;0;1;1;1;1;0
% Antes;0.0;25.4;22.2;32.5;15.5;18.1;57.0;34.6;39.7;36.4;29.5;44.8;20.2;49.0;50.5;15.0;23.6;62.6;57.7;35.8;54.2;50.1;51.2;46.4;35.2;47.3;45.3;44.9;73.6;64.8;47.2;32.0;67.3;56.0;52.2;53.0;23.9;3.0;5.0;1.5;6.6;4.4;1.7;4.7;1.3;3.1;2.1;3.2;3.6;1.3;20.0;16.1;1.8;1.7;2.2;2.9;1.7;1.6;5.4;7.1;3.5;1.2;6.8;1.5;6.1;1.8;1.3;1.5;1.4;1.8;1.4;1.3;1.6;1.1;1.3;1.3;1.5;1.7;1.5;1.7;4.9;2.3;1.4;2.3;4.6;4.1;2.6;1.3;1.9;1.1;1.3;3.3;1.1;4.8;1.4;1.3;2.0;11.6;1.1;1.3;1.1;1.2;1.6;7.3;2.4;4.6;1.3;1.9;1.3;0.9;2.8;1.4;3.5;1.3;1.4;2.6;1.5;2.5;2.3;1.4;1.5;1.5;1.2;2.2;2.3;2.0;26.2;1.8;12.8;2.5;7.3;8.6;1.0;1.6;1.8;6.4;1.3;5.3;1.9;1.7;1.1;1.3;1.3;1.1;7.2;1.3;1.2;1.3;1.3;1.5;2.0;1.1;1.0;1.2;1.3;4.6;1.2;1.1;1.2;1.6;7.0;6.9;2.6;1.5;2.7;1.2;1.3;3.0;1.6;1.5;1.0;4.4;1.4;1.1;1.8;1.0;1.8;4.2;24.6;1.2;1.1;1.3;1.3;1.1;1.1;1.1;1.5;2.4;5.3;1.4;1.5;1.6;2.1;1.0;1.1;1.5;1.3;1.1;1.3;1.8;1.4;1.4;1.5;1.1;25.9;11.5;3.6;1.2;1.4;2.1;1.0;1.0;1.1;1.7;2.2;1.0;1.2;0.9;1.7;1.1;1.2;1.5;1.4;1.3;1.0;0.9;1.8;2.8;1.1;1.3;1.2;1.3;1.3;5.4;1.5;1.3;1.0;1.2;1.2;1.3;4.6;1.3;1.8;1.0;1.3;2.8;23.4;1.0;2.2;1.5;1.1;1.2;1.3;2.1;3.0;3.6;19.0;12.8;1.2;0.9;1.3;1.1;1.0;1.2;1.2;1.2;1.0;1.2;1.2;1.3;1.0;1.2;2.0;2.5;1.2;1.1;1.1;2.5;1.2;1.3;1.1;1.0;1.1;1.2;1.1;1.1;1.2;1.0;1.0;2.6;1.7;1.7;0.9;1.0;1.4;1.3;1.0;1.0;5.5;1.1;1.0;1.2;1.0;1.9;1.3;16.2;1.2;1.3;1.5;1.1;10.0;0.9;2.2;1.4;1.2;1.1;1.1;1.4;0.9;1.1;1.1;1.4;1.3;25.7;25.2;24.8;25.5;25.7;8.5;1.6;1.5;1.4;3.2;1.8;1.3;1.0;1.1;1.1;1.2;1.0;1.1;1.1;1.0;1.1;1.2;1.3;1.5;1.3;0.9;1.1;1.3;1.0;0.9;1.1;1.3;1.4;3.0;1.5;1.5;1.5;1.2;8.3;0.9;1.0;1.0;1.1;1.1;1.3;1.2;1.4;2.2;1.2;1.3;1.0;1.3;1.3;1.3;1.1;1.2;1.1;1.0;1.2;1.2;4.0;5.0;1.0;2.5;1.2;0.9;1.3;1.0;1.1;1.1;1.0;1.4;0.9;1.9;1.0;1.1;1.0
% Durante;1.2;69.9;20.9;15.7;17.5;38.1;36.3;26.0;33.7;24.6;54.8;31.1;102.5;46.3;35.2;17.8;41.6;51.5;49.5;28.7;87.5;92.9;53.0;81.5;25.8;25.3;50.4;63.3;40.7;59.1;46.9;36.6;75.2;67.7;38.9;66.1;31.6;34.8;29.9;17.5;10.5;12.8;20.3;38.3;15.3;10.0;39.8;30.6;15.0;37.9;32.2;27.1;14.4;12.9;40.0;16.3;29.0;4.7;27.7;17.0;16.7;26.8;8.5;22.4;26.6;16.5;14.5;9.6;16.6;43.7;55.2;9.4;16.2;15.5;18.2;15.7;14.1;23.7;26.3;15.7;15.2;22.3;25.1;42.6;27.5;24.1;15.7;31.3;12.5;16.1;30.9;15.5;14.5;15.4;29.7;27.3;17.9;31.6;26.3;16.1;15.3;15.5;25.2;16.2;28.0;35.7;13.2;26.4;19.6;7.6;17.6;15.5;16.6;15.7;30.3;19.9;19.3;16.1;15.5;25.7;27.9;15.0;12.7;15.0;31.7;30.6;21.5;16.0;6.6;40.7;15.7;14.1;14.1;27.5;6.1;15.2;18.9;25.0;37.9;15.2;15.7;15.5;16.6;15.2;31.1;15.8;25.4;15.7;14.1;32.2;15.0;15.2;15.0;14.9;24.5;8.9;14.6;15.2;15.6;29.7;45.3;14.0;14.9;14.3;11.8;15.0;27.1;11.3;3.9;15.4;21.9;15.4;14.9;8.5;15.6;15.0;15.1;30.4;19.9;15.7;14.8;29.4;15.6;10.8;15.1;15.4;16.4;33.5;14.9;15.2;25.1;15.0;14.9;25.4;15.6;14.5;15.5;15.1;3.5;14.1;15.2;2.8;15.3;31.8;37.0;23.1;14.6;13.5;30.6;16.9;14.8;14.2;14.2;11.5;14.8;8.3;15.5;3.6;14.1;14.8;15.0;13.8;13.5;15.1;16.1;9.4;37.1;14.1;14.6;14.9;15.4;14.3;32.9;14.8;12.6;11.6;13.0;12.5;15.1;14.2;28.0;31.1;18.2;14.6;43.2;28.6;14.2;31.9;33.2;14.9;14.8;13.8;35.7;68.5;20.8;28.0;26.4;35.5;14.2;17.7;11.7;15.9;14.7;10.2;15.3;12.9;14.7;11.2;14.9;14.9;24.0;14.6;20.7;14.9;15.6;14.3;35.3;14.1;13.0;15.5;14.9;42.3;13.4;15.5;15.6;11.1;14.4;14.9;15.1;14.5;30.2;14.7;14.7;14.6;10.3;14.4;14.7;22.2;14.8;15.0;15.6;13.6;39.0;14.9;11.3;18.4;16.2;13.6;13.9;26.2;9.3;3.0;11.7;13.9;15.0;28.9;15.8;15.2;14.0;14.8;15.4;12.1;32.3;40.2;25.2;34.4;36.6;36.4;15.8;13.9;12.2;26.1;12.8;15.7;14.5;15.2;14.7;15.2;14.6;10.9;13.9;13.0;12.9;15.2;23.0;15.0;1.6;15.3;15.5;14.8;15.5;15.1;15.3;16.0;15.4;11.4;12.5;12.4;11.5;15.4;14.8;14.9;15.0;11.7;14.8;14.5;11.8;13.7;14.1;41.4;14.5;14.3;27.3;16.8;14.7;14.6;10.5;15.4;15.0;14.3;14.1;23.0;32.5;19.9;14.4;31.5;14.8;14.3;13.6;8.4;15.5;14.4;14.5;13.5;15.1;14.7;14.8;14.7;15.0;44.1
% Despues;62.5;33.4;8.3;15.8;17.8;24.9;35.4;28.4;30.8;49.3;30.9;26.2;39.5;18.3;24.3;14.3;57.7;45.4;56.9;61.3;35.0;46.3;55.0;23.2;19.1;17.9;56.0;49.6;47.7;31.2;34.0;63.6;61.3;51.3;90.2;48.3;35.3;23.2;15.3;31.8;11.7;24.5;6.2;17.3;12.7;12.1;30.0;21.6;43.7;30.1;38.6;43.8;9.3;13.1;38.9;15.2;10.5;13.2;33.5;12.7;14.1;31.1;23.8;34.2;36.0;15.8;17.0;15.7;15.7;16.2;35.1;12.7;12.3;15.6;15.8;26.1;34.6;15.5;28.3;16.1;14.8;12.6;10.6;23.8;32.2;25.1;10.0;19.4;12.1;13.0;36.2;10.3;29.0;17.5;15.1;15.1;37.6;16.0;16.2;16.2;16.2;16.9;26.2;25.5;36.7;39.2;13.5;17.0;16.6;10.1;17.0;16.1;16.5;16.6;16.7;16.5;25.1;28.6;10.7;23.6;11.4;16.3;24.5;12.6;43.3;26.4;10.1;10.6;10.5;35.9;16.6;17.0;16.3;36.0;9.4;11.6;37.5;9.2;15.4;13.8;16.1;15.6;31.7;16.2;33.0;16.2;3.9;16.6;17.2;17.1;16.5;15.6;16.3;16.1;40.3;2.4;14.6;16.5;4.8;37.9;40.7;16.3;16.8;14.9;14.4;16.5;34.8;23.5;16.3;16.4;29.7;16.4;16.6;3.4;15.9;16.8;10.1;35.9;15.9;15.9;16.5;6.1;15.1;12.7;16.2;31.8;33.9;32.5;15.7;16.3;16.6;17.2;16.4;16.4;16.3;15.2;15.4;16.1;6.8;12.2;15.5;16.1;16.4;27.1;34.9;23.7;16.2;14.8;6.4;14.1;15.5;15.8;16.5;30.4;15.1;13.6;15.1;1.9;15.8;15.7;16.1;15.5;16.0;15.5;17.7;11.6;34.7;10.3;15.8;16.3;10.9;15.7;35.3;16.0;11.9;16.7;8.8;15.8;13.7;27.8;14.8;25.7;33.5;15.7;41.4;16.0;14.8;35.2;11.1;16.0;16.0;16.0;29.8;36.3;28.4;21.5;40.2;28.5;14.5;17.1;1.9;16.0;16.3;9.8;15.2;15.4;16.4;15.0;17.5;15.2;16.2;24.1;8.2;16.6;16.0;15.5;33.9;15.0;16.4;15.5;16.2;21.6;15.9;16.1;15.8;12.7;16.4;16.3;16.3;17.1;30.7;15.7;12.2;16.7;10.7;14.2;15.7;20.0;16.2;15.2;16.2;14.5;35.2;16.3;15.3;18.2;16.8;13.5;16.4;34.0;16.0;11.8;13.0;25.7;16.4;13.6;16.5;14.7;15.8;15.3;16.2;11.0;34.9;36.9;41.7;32.9;32.4;30.1;16.3;16.2;10.8;35.6;25.5;15.2;14.4;15.9;15.7;16.1;15.8;12.1;15.5;15.6;11.5;16.0;16.1;12.7;15.2;16.2;15.7;16.0;15.1;11.1;15.6;16.8;15.9;8.3;14.6;14.7;12.5;15.4;29.6;15.7;15.4;15.8;15.6;16.3;6.2;30.0;14.8;42.0;14.5;16.1;15.9;16.7;16.2;15.5;11.4;15.5;14.9;15.8;16.2;28.5;34.5;22.2;15.8;21.1;17.5;15.5;1.1;13.9;15.6;16.3;15.7;13.9;15.5;14.8;15.3;15.3;15.5;35.9
Conexiones perdidas;0
