Tiempo de transaccion (ms);406;11;9;52;17;16;10;22;10;12;11;70;63;27;22;22;29;15;9;9;9;8;8;7;29;14;12;6;5;7;8;8;9;8;16;11;8;7;16;12;8;7;9;8;6;5;8;10;17;5;4;9;10;5;6;14;6;5;28;7;30;10;11;10;9;6;6;4;11;7;4;3;5;5;4;6;8;5;8;7
% Antes;0.0;41.6;39.1;22.4;19.2;17.4;33.8;37.2;14.5;37.6;19.1;18.7;8.8;31.0;11.3;1.2;4.4;32.4;21.5;2.0;23.8;24.0;8.4;0.8;1.4;1.5;3.5;1.3;1.3;1.4;2.0;1.2;25.9;5.7;0.8;0.9;1.0;0.8;1.2;1.3;0.7;1.9;0.7;2.8;0.7;0.6;0.7;1.2;3.0;1.3;0.6;0.6;0.7;0.9;0.5;0.5;0.7;0.8;1.2;2.6;0.7;0.9;0.8;1.4;1.9;1.5;0.7;0.6;0.7;0.7;0.7;0.6;0.5;0.8;1.2;0.5;0.5;1.3;1.7;4.4
% Durante;30.6;41.9;29.9;9.2;22.4;20.5;24.7;6.9;40.9;17.1;14.6;3.0;14.2;25.3;28.4;12.5;20.7;55.2;21.6;24.9;32.2;31.2;23.0;21.5;15.7;14.4;8.0;11.7;14.8;13.4;31.6;24.2;30.2;11.1;8.6;16.6;11.9;13.8;8.5;39.0;22.9;18.6;14.7;16.1;34.9;14.3;20.4;20.3;21.8;25.2;17.4;14.5;9.6;24.2;15.9;10.0;14.8;17.2;23.0;12.7;21.7;16.4;21.3;37.6;10.6;27.4;20.6;22.4;34.1;17.9;15.6;23.0;15.6;34.0;18.4;13.1;21.8;33.6;24.0;10.1
% Despues;31.3;24.8;27.3;6.9;11.9;41.2;29.3;25.8;41.7;12.9;32.4;14.8;19.6;41.3;15.0;19.8;29.6;35.2;41.9;48.9;24.4;24.5;16.8;14.1;15.2;20.0;9.1;16.6;17.5;22.1;14.8;26.1;40.7;24.0;27.1;15.0;17.9;16.4;12.8;28.1;35.3;24.4;24.2;15.7;37.4;18.9;13.4;39.3;18.8;15.4;16.2;20.1;9.0;18.0;12.6;11.5;10.1;11.2;27.3;16.7;20.3;13.0;14.2;33.5;40.0;35.0;16.3;23.6;32.2;14.0;23.1;18.2;15.3;18.9;23.5;18.1;16.6;35.4;36.9;38.2
Conexiones perdidas;0
