Tiempo de transaccion (ms);279;33;15;19;33;29;104;16;11;10;10;12;10;12;19;15;10;13;28;13;18;10;5;16;9;14;7;4;5;8;5;5;5;7;6;10;5;10;14;11;12;8;9;9;4;11;7;6;5;9;6;9;5;7;6;8;5;6;9;24;11;6;8;21;8;3;8;7;11;34;9;6;5;4;7;20;31;38;5;6
% Antes;0.0;14.2;28.5;46.2;45.2;9.6;18.2;32.7;38.6;41.5;7.7;1.4;0.8;10.6;1.7;1.1;2.4;24.8;4.4;1.4;6.0;13.4;1.0;1.2;25.2;22.8;9.2;3.5;1.0;1.4;1.1;1.2;2.5;1.3;0.8;3.4;0.9;0.6;1.2;2.7;1.0;0.8;0.6;1.3;0.7;0.9;0.8;0.9;1.4;1.0;2.8;6.8;1.3;5.9;0.6;0.7;0.6;0.9;0.6;2.0;0.9;0.7;0.7;3.8;2.6;0.6;0.6;0.8;0.6;1.8;18.7;17.0;0.5;0.5;0.8;0.6;1.6;4.2;4.2;0.9
% Durante;23.7;24.1;36.3;45.0;26.1;15.9;6.8;14.4;36.4;34.9;20.0;19.9;15.5;14.5;31.5;20.0;24.4;38.5;8.8;16.7;25.0;36.5;19.6;25.4;38.2;17.7;16.6;15.1;15.1;10.7;19.9;21.4;16.5;11.8;22.0;31.5;15.8;14.9;8.5;18.9;15.3;22.6;22.9;11.4;15.4;8.3;33.6;40.0;16.7;17.4;15.3;17.4;15.4;32.6;15.8;24.4;16.4;13.4;34.9;21.9;8.6;28.7;26.7;26.4;26.4;16.4;19.1;15.9;17.6;3.8;6.1;11.1;36.4;19.8;10.4;3.6;2.2;3.3;15.3;12.5
% Despues;38.3;17.3;43.4;46.8;14.6;20.1;33.0;23.6;35.9;39.6;30.8;23.3;33.1;13.9;23.3;14.2;43.8;41.2;16.3;32.7;32.3;25.1;15.5;37.2;32.7;14.2;36.6;17.0;17.8;14.7;28.1;18.4;28.8;24.2;22.6;16.0;18.6;9.0;41.3;16.8;19.8;18.8;31.8;15.7;16.6;15.4;15.5;16.4;34.3;32.9;38.0;22.6;27.2;37.8;16.6;10.6;30.5;16.2;30.2;19.3;13.2;38.6;36.9;12.5;13.1;33.8;15.5;13.5;36.1;8.2;25.3;17.8;22.0;18.1;17.2;10.0;5.0;4.0;28.5;19.0
Conexiones perdidas;0
