Tiempo de transaccion (ms);620;9;3;4;2;2;3;2;3;2;2;3;1;2;1;6;2;3;2;2;2;1;2;1;2;2;3;5;1;1;2;1;1;1;1;1;1;1;1;1;1;4;7;1;1;1;1;2;2;1;1;1;2;1;1;3;1;1;3;2;5;2;1;6;2;1;0;1;1;2;2;1;1;2;1;1;1;1;1;2;1;1;1;2;2;10;1;0;2;1;3;1;1;1;2;1;0;0;1;1;1;1;1;1;1;2;1;1;1;1;0;1;8;0;3;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;3;1;0;1;1;0;2;1;1;1;1;0;1;1;1;2;1;0;0;0;1;1;2;1;2;1;0;4;1;1;1;2;1;1;1;1;1;1;1;1;0;1;0;1;11;2;0;0;2;0;1;1;1;1;0;0;1;3;1;1;1;1;1;1;2;1;1
% Antes;0.0;13.9;26.0;19.2;32.9;16.8;40.2;41.2;42.4;17.8;12.7;18.7;33.9;31.7;20.3;13.4;18.6;22.0;23.3;20.2;12.6;1.2;0.9;1.1;2.2;1.2;1.0;1.9;1.2;1.8;0.8;1.5;1.4;0.7;0.8;1.1;1.8;1.0;1.6;0.7;1.2;2.3;1.0;1.7;0.8;2.1;0.8;1.6;3.5;1.0;1.3;0.9;0.6;0.9;0.7;2.4;0.7;0.7;0.8;2.1;0.7;2.7;20.4;0.9;3.9;0.9;0.6;0.6;0.7;0.8;1.8;0.7;0.7;0.7;0.7;0.6;0.8;1.3;0.7;0.6;3.3;1.0;0.6;1.0;2.6;2.6;2.1;0.6;0.6;0.8;0.7;1.8;0.8;1.1;1.0;0.8;9.2;0.6;0.6;6.6;2.5;0.7;0.7;0.8;1.4;2.7;0.7;0.8;0.7;0.7;0.6;0.6;2.4;0.7;0.7;1.7;0.9;0.6;0.6;0.7;2.1;0.7;0.7;1.1;0.8;9.4;1.1;4.9;7.8;0.7;0.6;5.1;0.8;0.8;0.7;0.6;0.7;0.7;0.7;0.6;0.6;3.3;0.6;0.7;0.6;0.7;0.6;0.8;2.5;0.8;1.2;0.6;0.6;0.6;0.5;2.2;0.9;0.8;0.6;0.6;0.6;0.9;0.6;0.8;0.8;0.8;0.5;1.5;0.8;0.8;0.5;2.3;0.6;0.6;0.5;0.6;1.1;4.2;3.4;1.2;0.6;1.0;0.7;0.8;0.8;3.7;0.6;0.6;0.5;0.7;2.2;1.3;1.8;0.8;0.7;1.4;0.6;0.7;0.8;0.7
% Durante;0.8;27.6;16.5;19.5;35.9;18.9;13.1;34.6;16.0;24.6;17.4;32.4;32.1;21.1;16.5;3.2;23.5;9.1;19.2;21.7;32.1;31.0;16.4;19.9;21.4;15.5;9.5;25.3;11.7;26.7;24.6;16.7;32.7;33.6;16.0;29.1;8.2;13.4;14.4;32.5;26.6;9.2;13.1;25.3;16.1;15.6;33.3;45.5;16.1;41.4;15.0;26.6;15.2;22.0;31.1;12.0;16.2;15.1;39.2;9.1;11.8;23.0;24.6;31.0;20.5;14.3;15.6;11.3;15.7;39.0;27.1;15.0;14.5;20.1;15.9;14.8;12.0;22.4;28.5;14.9;16.1;15.3;27.8;35.6;32.4;16.0;15.6;15.6;12.4;15.9;15.6;30.0;15.8;15.8;9.6;12.6;16.9;15.1;28.0;17.6;13.8;14.0;28.8;15.7;15.7;24.8;14.4;17.9;23.5;15.4;15.2;19.7;17.1;15.7;23.2;15.2;14.8;15.7;9.5;29.4;25.3;35.7;11.7;12.0;16.7;32.7;16.8;25.0;28.8;15.5;13.9;24.6;25.2;17.5;13.5;15.2;14.9;31.5;15.0;19.8;15.5;13.8;14.4;33.8;17.0;10.7;15.2;36.3;13.0;15.3;30.1;15.1;15.3;15.3;19.8;14.8;14.5;13.5;15.0;15.5;35.5;16.0;11.2;13.3;6.1;15.3;28.2;13.9;15.7;12.8;19.1;15.2;14.0;13.7;15.4;13.9;14.9;23.0;6.3;15.7;14.6;6.8;15.1;10.8;33.7;15.3;19.3;15.6;15.2;37.5;35.5;14.6;27.7;15.6;6.4;5.1;12.7;9.3;15.1;25.5
% Despues;57.5;10.3;29.6;12.6;20.5;21.8;37.3;32.9;35.7;13.9;24.9;29.6;37.0;14.8;10.7;25.8;15.7;28.6;36.4;15.9;30.9;44.0;12.5;13.4;6.9;12.6;27.3;34.5;10.9;12.5;10.8;16.5;19.2;27.9;12.2;15.9;18.2;24.0;11.1;35.2;27.2;10.7;7.0;16.0;15.8;16.9;47.4;31.9;9.6;28.3;12.8;32.9;10.0;16.0;35.7;7.5;14.9;14.9;33.8;10.5;24.9;17.0;13.9;47.1;12.9;16.4;16.2;11.2;15.8;18.9;33.8;16.4;14.7;11.4;15.4;10.9;16.3;16.3;15.8;7.3;16.2;16.1;26.0;34.8;35.9;20.2;15.9;15.9;12.5;9.7;33.9;15.9;15.5;12.4;10.9;11.6;17.5;16.1;25.1;37.2;11.9;16.2;34.1;29.2;30.7;28.3;17.4;16.3;16.1;16.1;16.2;35.6;27.0;15.5;26.8;16.6;16.4;15.1;14.0;30.6;18.1;23.1;27.0;9.2;33.2;36.0;34.0;25.0;11.2;15.6;12.7;16.4;16.7;18.1;14.2;15.9;16.4;30.6;16.2;15.1;30.5;15.1;16.1;16.3;8.9;11.0;9.3;29.0;7.1;26.1;14.8;16.1;16.4;14.9;28.9;14.8;14.9;16.8;17.0;16.4;15.0;16.4;11.2;13.9;12.5;16.2;28.1;12.5;12.6;15.2;32.9;15.4;10.3;16.1;9.1;16.4;10.1;36.2;8.2;16.0;15.8;4.1;30.7;12.0;24.6;11.0;12.4;16.0;16.3;35.9;19.1;25.4;15.1;17.4;15.4;13.6;14.3;10.7;14.7;15.9
Conexiones perdidas;0
