Tiempo de transaccion (ms);539;13;3;3;2;2;5;3;1;2;2;4;2;2;2;4;2;3;4;2;3;2;2;2;4;4;3;1;2;1;4;1;2;3;2;2;2;3;3;1;1;2;4;1;1;2;4;3;2;1;2;3;1;1;2;1;1;1;2;1;1;2;4;4;1;1;1;1;1;3;2;1;2;1;11;10;1;1;1;0;1;1;1;1;2;3;1;1;1;1;3;1;1;1;1;2;0;2;12;1;0;1;1;1;0;1;0;3;0;0;1;1;8;2;2;1;3;1;1;1;2;1;22;1;1;1;2;2;1;1;0;1;1;2;1;1;1;0;1;1;2;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;2;1;2;1;1;0;1;1;1;1;2;14;1;1;2;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1
% Antes;0.0;15.9;35.8;25.2;16.4;32.4;30.0;29.3;23.4;19.5;8.9;15.7;45.6;42.8;23.3;18.3;18.3;16.4;25.3;2.6;1.4;2.1;0.8;0.8;1.9;1.0;1.9;1.4;3.3;1.8;0.8;1.9;1.4;0.8;0.9;1.0;0.7;0.7;1.4;18.7;0.8;2.3;0.9;1.3;2.5;1.8;0.7;1.1;2.8;1.1;0.7;0.8;0.7;0.7;1.0;0.8;1.9;0.8;0.9;3.5;0.8;0.8;4.3;2.2;3.0;1.0;0.7;0.8;0.6;0.8;0.9;0.9;0.9;0.8;0.7;1.1;1.7;0.9;0.7;0.6;2.0;1.4;0.7;0.8;0.7;2.1;2.8;0.7;0.6;0.6;0.7;0.8;2.8;0.6;0.7;0.6;10.3;0.6;1.1;2.3;2.9;0.6;0.6;0.9;1.3;0.6;0.6;0.9;0.8;0.7;0.7;0.6;2.3;1.0;0.9;1.5;1.5;0.8;0.8;0.6;4.7;1.0;0.6;2.6;0.8;0.9;1.1;5.1;6.5;0.9;0.6;2.4;0.7;0.8;1.8;0.6;0.7;0.6;0.7;0.7;0.6;3.5;0.7;0.6;0.6;0.8;0.7;0.7;0.8;0.6;0.7;0.6;0.6;4.3;0.7;2.5;0.7;1.7;0.6;0.6;0.7;3.0;0.7;0.7;0.6;0.6;0.8;1.1;0.6;0.6;0.7;4.6;0.7;0.6;0.7;0.7;0.6;0.9;9.3;0.9;0.7;0.7;0.6;0.6;0.8;3.0;0.6;0.6;0.7;0.7;0.7;0.8;1.8;0.6;0.5;0.6;0.7;0.6;0.6;0.8
% Durante;2.5;20.5;29.6;23.3;30.3;19.8;15.0;31.0;15.3;22.6;13.7;26.2;29.8;32.0;15.7;9.0;15.0;11.2;9.5;25.4;38.9;35.8;26.6;29.7;7.6;27.2;32.4;31.9;13.4;24.2;16.6;16.3;13.0;28.2;16.0;20.2;15.9;8.0;12.7;26.2;37.4;26.2;12.8;29.9;29.3;11.7;23.7;42.0;9.7;36.8;16.3;12.1;13.8;22.8;16.8;12.6;12.9;15.7;30.9;17.3;15.3;30.1;17.9;23.6;26.0;13.8;10.1;14.1;15.9;37.1;33.4;16.2;10.4;30.4;19.7;1.3;18.0;27.2;26.2;16.5;15.4;11.8;27.1;31.3;29.8;23.3;15.9;15.1;15.7;11.4;16.5;29.2;15.5;15.6;19.4;16.4;18.0;21.7;30.0;14.6;16.1;15.3;28.7;15.7;21.5;35.9;15.1;8.1;22.3;15.8;17.3;14.2;15.5;35.0;15.6;14.3;4.8;14.9;15.7;33.1;9.9;38.0;22.2;11.6;12.0;34.4;22.4;22.6;21.7;14.9;13.4;24.0;26.5;31.2;12.5;10.7;29.9;15.1;14.9;30.3;12.0;13.8;14.9;33.7;15.4;13.1;34.8;14.3;15.2;12.4;31.1;15.6;15.8;15.4;21.9;10.6;35.0;15.0;15.2;15.1;36.6;15.6;14.2;15.0;15.2;12.1;25.5;10.2;13.0;4.9;19.0;15.4;14.5;15.6;14.8;11.3;12.5;27.5;0.7;14.2;13.7;27.5;14.6;10.9;33.3;15.4;11.6;11.8;15.2;34.8;33.2;14.0;28.4;14.5;15.7;14.4;15.4;15.1;14.7;24.5
% Despues;54.9;13.2;36.0;11.0;26.4;36.4;11.2;13.2;29.9;12.6;12.3;30.9;32.6;31.9;11.7;24.2;11.5;13.6;21.9;20.9;46.8;21.4;15.7;14.5;13.8;26.6;23.2;28.5;9.5;12.6;22.6;15.5;14.6;11.4;12.5;16.2;14.8;19.6;7.2;16.7;33.8;13.3;15.9;27.3;22.2;11.9;14.5;23.1;28.2;27.2;9.1;30.3;15.9;14.5;27.4;27.2;11.7;10.7;27.3;13.7;12.0;32.6;3.7;21.7;34.6;15.9;16.6;16.4;15.9;5.2;32.7;10.6;8.8;16.0;12.5;7.6;33.2;15.6;31.5;15.7;29.5;16.5;16.2;27.3;36.8;41.3;14.5;15.9;16.2;16.2;21.3;30.6;15.1;13.8;16.0;5.4;14.6;62.9;20.0;31.2;15.8;15.8;34.0;29.4;15.7;27.3;15.9;11.4;17.1;16.0;15.8;32.5;24.7;13.6;13.3;23.6;16.0;14.2;15.8;34.4;13.3;16.0;20.0;11.4;11.1;33.9;20.8;20.6;16.1;16.2;16.1;14.2;16.4;32.6;13.1;7.4;31.7;16.2;15.7;29.4;23.9;14.7;16.1;15.9;15.5;13.6;18.6;15.8;15.3;11.7;16.4;16.0;32.0;16.2;28.7;16.6;28.9;16.1;16.2;15.7;33.6;12.5;16.3;14.5;16.2;15.8;29.0;23.9;18.0;8.9;37.4;15.6;16.3;15.7;15.6;13.6;24.3;29.8;11.2;15.9;16.4;12.5;15.5;23.3;33.9;16.1;12.1;12.0;15.5;34.6;35.1;27.1;16.3;16.4;15.8;16.0;16.4;15.5;12.2;15.8
Conexiones perdidas;0
