Tiempo de transaccion (ms);621;5;3;3;2;1;1;1;2;2;1;1;2;3;2;7;3;3;2;2;5;3;1;3;3;4;13;3;2;2;1;1;2;2;3;2;1;2;2;1;1;2;3;2;1;1;1;4;2;1;1;1;3;1;1;1;1;1;3;1;1;1;1;2;25;1;2;1;2;2;2;2;3;1;1;3;1;1;1;1;1;1;1;2;2;6;1;1;1;2;38;7;2;0;1;1;2;1;12;1;1;1;8;2;1;2;1;2;1;1;1;1;9;1;11;1;0;0;21;4;4;1;1;1;1;1;1;2;1;1;1;1;0;1;4;1;1;1;1;1;1;1;0;1;1;2;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;2;1;1;1;1;2;1;0;1;1;1;1;1;1;1;3;13;2;1;0;0;6;0;2;2;1;1;1;0;1;1;1;0;0
% Antes;0.0;17.8;27.5;15.5;31.0;26.0;23.2;35.3;46.3;31.2;23.7;23.6;40.7;35.1;28.8;18.7;21.1;19.3;12.9;4.1;2.2;1.4;1.1;1.0;3.7;1.0;3.6;2.5;1.2;1.7;0.9;1.8;1.3;0.7;1.1;0.9;0.8;0.8;0.8;1.4;1.0;1.8;1.1;1.2;2.1;0.7;0.9;1.4;3.2;1.8;0.9;0.7;19.9;0.9;1.1;2.1;0.6;0.9;0.8;2.5;0.6;1.0;2.8;0.8;3.7;2.2;0.7;0.8;0.9;0.8;2.0;0.8;1.2;8.2;0.7;3.9;0.8;0.9;0.6;0.8;2.7;1.0;0.9;0.7;2.8;2.1;1.4;0.7;0.9;0.7;0.6;25.4;1.2;1.0;0.8;0.7;6.7;1.2;0.7;0.9;2.9;0.7;0.6;1.0;1.2;0.7;0.7;0.8;0.8;0.7;0.8;0.7;2.3;1.5;0.7;2.2;0.8;0.7;0.5;2.0;0.9;1.2;0.7;0.8;0.7;0.8;4.0;0.9;19.5;0.7;0.6;7.7;0.7;0.6;1.8;0.7;0.7;0.6;0.6;0.6;0.8;4.0;0.7;0.6;0.7;0.8;0.7;0.7;0.7;0.7;1.1;0.5;0.7;0.7;0.7;2.1;0.6;0.7;0.6;0.5;0.7;1.6;0.6;0.7;0.7;0.5;0.6;0.7;0.6;0.6;0.7;3.0;0.7;0.6;0.7;0.6;1.1;0.8;9.0;0.7;0.6;0.6;0.8;1.4;0.5;0.6;0.5;1.7;0.9;0.8;2.1;2.2;2.0;0.7;0.7;0.7;0.7;1.0;0.6;1.0
% Durante;0.9;23.4;27.1;21.1;32.0;24.8;16.8;67.4;44.5;34.9;14.5;26.0;18.4;26.1;14.3;5.6;7.9;16.1;15.2;19.0;21.0;20.3;11.4;10.9;11.0;7.4;1.3;18.0;7.1;26.0;37.8;26.0;38.4;27.6;5.6;21.3;16.5;16.1;22.5;16.7;34.0;14.0;30.7;24.8;27.1;13.4;40.8;45.5;24.1;38.7;16.0;26.2;7.0;16.7;13.1;16.3;15.7;15.5;32.6;16.4;12.8;18.4;25.5;17.9;4.5;12.2;11.5;15.0;6.5;47.3;18.1;14.5;35.5;30.2;30.9;12.3;21.8;27.9;25.3;15.6;13.8;15.6;31.9;18.9;32.1;26.3;16.0;16.1;16.2;11.7;0.6;5.7;7.8;14.6;27.0;15.3;7.6;15.8;29.9;18.9;16.8;15.2;21.4;7.0;15.9;22.1;26.0;10.7;23.6;12.8;12.4;19.0;17.9;12.1;1.8;15.8;15.8;13.6;0.6;22.4;3.1;34.4;13.5;11.0;13.0;42.9;13.6;24.3;36.7;15.4;15.6;18.8;24.1;33.5;11.7;11.8;29.5;15.7;13.7;32.7;12.2;15.0;16.5;33.1;15.1;6.0;15.7;14.5;35.0;15.1;29.5;16.9;15.0;11.9;21.7;16.2;14.8;15.8;15.6;14.9;37.4;15.4;15.2;15.6;12.5;15.1;23.7;14.8;14.7;15.2;19.1;4.8;11.7;14.7;16.1;15.8;12.8;30.0;14.8;14.9;14.7;13.9;0.6;6.5;14.0;14.9;12.1;19.3;15.3;38.4;41.9;15.1;14.7;31.9;15.4;11.9;14.7;15.0;15.6;12.4
% Despues;56.1;33.8;27.7;29.7;19.8;32.0;13.9;44.4;35.3;14.6;14.9;75.0;22.2;11.2;11.7;17.4;9.7;18.3;10.4;22.9;11.0;16.9;14.9;20.4;9.1;10.4;26.4;14.7;15.7;20.3;16.0;11.6;19.6;17.4;15.6;14.4;16.6;17.2;13.2;17.0;35.2;12.7;18.1;36.2;11.8;17.1;32.0;38.8;35.9;32.6;16.6;32.3;11.5;13.1;12.8;13.6;12.3;15.2;39.8;7.3;12.8;34.5;15.2;13.1;15.3;13.3;13.2;17.2;17.3;16.9;33.0;10.8;27.4;16.5;33.9;8.1;35.6;16.4;36.2;31.5;11.9;8.8;15.9;15.3;19.3;25.5;15.4;16.4;16.0;11.2;3.5;24.5;12.6;15.6;16.8;15.7;74.4;18.2;23.4;26.2;16.5;16.2;1.2;25.2;16.0;14.8;16.2;13.4;15.2;11.6;13.6;36.8;23.0;12.6;20.1;15.7;15.5;16.0;17.7;19.7;12.0;15.2;9.9;11.7;12.5;32.8;14.6;30.3;15.2;16.4;15.0;16.5;12.9;35.2;1.8;11.4;23.0;16.2;16.1;34.7;16.1;16.5;16.4;22.4;16.3;16.0;14.4;15.3;17.2;26.6;17.0;37.5;16.1;12.2;30.3;16.3;16.0;15.7;14.9;16.1;37.1;7.7;16.0;15.9;15.6;7.1;11.5;23.6;14.6;16.6;32.8;12.7;11.4;16.5;16.1;16.6;15.5;29.2;9.2;16.2;9.1;8.2;22.8;16.6;16.3;15.6;14.0;12.4;16.4;29.6;37.4;25.7;16.3;15.8;16.4;12.3;15.6;16.4;15.7;10.9
Conexiones perdidas;0
