Tiempo de transaccion (ms);300;312;19;13;14;9;76;11;12;11;9;8;10;9;10;16;9;17;8;19;28;14;8;8;11;6;5;5;7;13;6;6;6;12;34;6;8;6;13;15;36;26;10;8;11;6;9;7;6;5;9;17;9;15;5;6;5;7;18;10;10;46;32;16;9;4;8;5;11;6;7;5;5;5;9;3;53;15;5;6
% Antes;0.0;69.7;7.7;50.5;11.4;47.9;37.5;50.5;60.0;12.7;13.6;2.2;0.9;0.9;7.6;11.1;13.5;0.9;17.0;1.0;2.2;25.5;24.4;2.8;1.2;1.8;3.8;1.1;1.2;1.4;2.3;1.0;2.0;0.9;1.3;17.1;1.3;0.7;0.8;1.6;0.9;2.3;1.0;1.8;0.8;1.2;0.6;1.1;2.0;1.4;0.6;0.8;1.2;0.8;0.6;0.6;0.5;0.8;1.1;1.3;0.6;0.6;1.5;2.7;2.8;9.6;0.6;0.6;5.3;0.6;21.8;14.3;3.9;1.3;0.7;0.9;0.6;2.3;11.4;0.5
% Durante;24.7;42.1;18.3;12.7;30.8;49.9;45.2;32.9;37.8;28.8;41.0;30.0;15.4;16.9;12.2;15.2;19.6;9.7;20.7;15.1;8.0;36.9;35.3;17.6;39.1;24.9;21.5;16.5;28.9;18.6;33.2;22.6;16.6;29.6;20.0;23.3;18.3;12.7;16.0;7.2;5.1;11.8;25.5;11.7;7.2;12.1;27.7;35.1;17.0;24.9;10.8;10.0;12.0;26.9;14.7;11.2;18.5;13.0;16.6;13.4;8.8;7.5;9.5;21.2;7.9;20.6;8.8;19.2;9.6;26.8;41.0;21.8;16.0;17.7;8.1;17.2;24.4;22.9;18.3;18.9
% Despues;43.5;10.9;8.6;31.6;16.9;36.9;39.1;44.8;58.3;17.2;40.6;32.0;18.1;21.0;13.5;27.4;31.4;30.2;34.5;23.3;20.9;48.0;35.8;34.4;29.1;34.8;15.5;17.7;32.6;23.9;23.4;19.9;39.8;31.5;23.5;47.2;16.3;19.5;10.6;6.7;12.7;9.6;32.5;20.5;12.7;16.6;12.1;17.0;36.2;16.1;11.5;7.5;11.8;4.7;16.6;18.1;16.0;31.5;34.2;22.9;16.7;14.3;14.1;7.2;16.3;18.8;16.8;32.1;29.6;20.4;32.5;16.6;17.0;19.1;14.5;18.6;20.3;30.1;34.3;16.9
Conexiones perdidas;0
