Tiempo de transaccion (ms);328;328;9;30;41;10;9;15;9;63;8;11;7;8;26;12;14;14;59;8;9;8;5;7;11;8;9;14;14;8;10;7;13;8;28;14;5;8;9;14;23;7;6;24;5;7;23;7;6;6;6;10;7;11;5;4;6;4;17;11;10;8;12;13;14;7;3;6;7;17;5;5;12;5;5;7;6;33;5;8
% Antes;0.0;84.3;52.7;26.9;63.9;40.0;60.7;70.8;23.2;24.9;37.7;34.0;40.2;35.6;27.1;14.3;5.3;0.9;1.3;6.9;7.7;1.2;1.0;0.7;1.1;3.1;3.4;1.2;1.7;1.3;1.9;1.3;2.2;0.7;0.7;19.6;0.9;0.8;2.0;1.8;0.8;1.8;0.6;2.7;0.8;0.9;0.9;1.0;4.0;2.1;0.7;0.6;0.8;0.8;0.6;0.9;0.5;1.6;0.5;1.1;2.9;0.6;0.9;3.8;22.5;0.7;0.6;0.6;0.6;0.5;20.5;7.7;1.1;0.7;1.1;0.5;0.6;1.1;1.0;0.8
% Durante;23.9;53.8;61.7;30.6;58.9;57.4;46.9;12.3;25.6;27.6;13.2;23.8;54.2;31.6;9.7;21.7;9.1;26.1;3.3;31.5;19.4;28.3;19.3;25.9;32.0;27.6;13.3;7.1;7.1;13.5;27.9;15.6;5.1;11.2;40.6;7.8;15.6;19.3;9.8;12.1;19.8;18.7;32.8;2.9;17.6;11.3;12.2;33.2;16.8;24.4;16.1;11.4;14.1;13.3;17.0;16.4;24.6;24.0;27.4;16.8;17.0;8.9;25.0;10.7;20.4;13.4;17.3;12.9;14.7;10.1;42.7;19.7;7.1;24.7;17.8;9.5;19.6;7.2;17.3;34.8
% Despues;63.9;47.0;44.5;35.3;54.4;70.4;27.3;30.9;37.3;35.1;23.6;16.9;55.6;35.9;12.9;12.4;14.8;15.5;4.6;28.2;19.4;29.3;17.1;15.1;42.4;31.6;20.9;12.0;13.7;21.7;25.4;21.5;20.8;16.2;26.4;17.3;16.5;39.0;25.4;17.5;18.3;20.2;42.1;15.9;16.2;16.9;25.4;43.1;34.7;16.6;16.3;23.2;15.9;17.8;17.8;21.2;37.3;18.2;11.9;22.6;15.9;13.6;28.6;33.3;19.8;19.6;15.1;25.7;32.1;24.1;50.2;17.0;17.8;18.4;20.7;16.4;20.0;11.7;28.0;17.1
Conexiones perdidas;0
