Tiempo de transaccion (ms);272;281;10;12;43;11;12;12;10;10;11;9;10;9;9;9;9;12;8;13;7;11;6;13;4;13;8;6;6;12;5;11;16;30;20;13;10;15;15;8;56;7;14;8;25;21;7;7;6;10;7;9;6;6;5;23;5;7;14;7;6;21;8;23;9;5;4;6;6;6;4;9;7;7;6;3;7;6;6;5
% Antes;0.0;52.1;48.1;53.7;13.7;22.9;20.1;23.1;26.7;11.4;1.2;25.0;23.5;14.2;23.8;3.8;2.5;0.8;4.3;19.8;21.9;2.5;1.1;1.3;1.2;1.0;3.3;4.9;1.0;1.3;0.8;1.2;2.3;1.1;1.2;1.9;0.7;0.8;1.4;1.4;0.9;3.4;0.7;3.9;1.0;1.3;1.1;1.1;4.6;0.9;0.7;0.7;0.9;0.8;2.2;1.0;0.8;0.8;0.8;1.0;2.9;3.4;6.5;0.5;2.5;0.8;0.5;0.6;0.6;0.9;0.6;0.5;0.6;0.6;1.0;0.5;0.5;1.1;1.7;1.2
% Durante;23.4;52.8;34.1;44.4;11.9;24.8;14.9;24.0;45.9;26.7;16.7;24.4;33.3;18.2;27.2;18.4;19.3;13.6;28.1;14.4;37.5;28.5;25.4;35.9;16.9;24.0;20.2;15.1;14.6;10.2;31.9;12.2;19.5;23.3;10.3;12.5;36.7;10.9;12.0;14.0;4.2;18.5;19.5;12.4;11.2;8.4;35.5;42.4;21.9;21.2;12.1;20.3;16.2;31.4;15.9;3.1;17.9;10.2;37.4;22.2;36.9;7.5;17.1;9.9;13.2;18.3;16.6;16.2;17.2;14.5;16.8;13.1;23.1;9.3;14.4;17.6;16.0;23.2;29.2;23.4
% Despues;38.0;22.9;43.1;28.0;32.8;18.1;13.8;12.8;30.1;12.7;13.8;40.5;34.7;15.2;26.0;15.3;21.9;6.7;35.3;14.3;34.9;13.9;17.1;36.5;33.9;30.6;16.2;41.0;17.5;7.4;22.1;23.0;12.0;12.4;15.0;17.5;17.9;23.6;11.5;10.2;1.6;25.9;36.4;14.6;2.6;3.5;14.3;40.1;62.0;8.3;16.3;17.7;17.9;66.9;14.2;9.2;24.3;17.3;29.7;36.5;18.1;8.3;10.3;25.3;17.2;18.0;17.2;24.9;30.7;28.6;22.2;10.7;17.3;16.7;22.4;17.5;15.9;42.6;46.3;34.9
Conexiones perdidas;0
