Tiempo de transaccion (ms);564;566;1;2;3;2;2;3;2;2;2;3;2;2;6;2;3;3;3;4;3;2;1;1;1;4;5;2;1;1;1;2;1;2;1;2;1;3;2;1;3;2;2;1;1;1;2;3;1;2;1;2;1;1;1;1;2;1;1;2;2;4;2;3;2;1;1;1;1;2;2;1;1;2;1;1;1;5;3;1
% Antes;27.2;0.0;9.1;41.0;15.6;61.5;70.2;19.7;0.5;0.6;0.6;0.6;0.9;0.5;0.5;1.7;0.5;0.6;1.4;0.5;0.5;0.4;0.3;0.3;0.7;0.3;0.5;0.6;1.2;0.8;0.3;0.7;0.9;0.6;0.4;0.3;0.4;0.4;0.5;0.5;0.4;0.7;0.4;0.5;0.9;0.8;0.4;0.6;1.0;0.7;0.3;0.3;0.6;0.7;0.3;0.3;0.3;7.4;0.4;1.4;0.4;0.8;1.0;0.3;0.6;0.4;0.3;0.4;0.3;0.3;0.4;0.4;0.3;0.3;0.4;0.3;0.5;0.3;0.5;0.5
% Durante;2.5;208.3;46.9;22.5;54.7;58.9;68.7;8.1;26.5;12.4;20.5;19.9;16.5;17.0;44.3;22.7;20.8;23.8;25.0;19.0;29.1;35.2;23.5;27.9;25.7;10.6;7.4;37.7;14.0;23.1;31.7;24.5;22.7;17.5;21.7;23.8;13.6;11.3;20.4;15.2;10.3;22.0;31.3;31.9;16.0;16.6;29.9;30.8;13.2;32.4;17.6;24.8;15.0;17.6;19.5;15.3;14.6;11.9;37.9;17.8;8.1;23.5;25.4;16.9;31.0;16.5;13.5;15.3;13.8;38.6;39.0;15.6;13.2;9.7;16.5;11.5;17.1;12.0;27.0;16.1
% Despues;58.1;16.0;48.7;20.0;34.2;42.1;54.9;11.1;24.4;32.9;12.3;15.0;19.8;15.4;35.2;18.8;11.4;28.8;31.6;3.5;29.1;29.0;24.6;15.4;15.8;13.1;13.6;39.2;9.7;13.4;16.9;17.2;17.2;5.1;29.3;27.9;12.2;21.5;24.0;15.1;83.8;30.3;15.5;16.7;16.0;16.7;37.6;41.7;12.3;32.1;15.7;36.2;28.1;17.5;25.7;16.9;16.3;12.6;34.6;35.0;36.2;30.3;9.2;20.7;37.1;16.6;15.6;16.7;16.6;17.1;34.4;12.0;16.3;12.1;9.2;12.0;34.8;3.0;29.8;12.1
Conexiones perdidas;0
