Tiempo de transaccion (ms);568;571;2;2;2;2;2;1;1;2;4;3;2;4;2;3;6;1;4;3;2;2;2;1;1;3;2;1;4;2;2;2;1;1;1;0;1;3;2;2;3;1;3;0;1;2;10;1;2;1;1;2;1;2;6;2;2;1;2;1;1;5;1;2;3;1;1;1;1;2;1;2;1;1;1;2;2;3;1;1
% Antes;26.2;0.0;34.0;32.3;36.7;21.7;49.7;46.1;11.5;0.6;0.7;1.1;0.6;0.6;0.4;1.9;1.3;0.4;1.0;0.4;0.4;0.7;0.4;0.4;0.8;0.3;0.5;0.7;1.5;0.6;0.5;0.8;0.7;0.6;0.3;0.5;0.3;0.3;0.3;0.3;0.6;0.6;0.3;0.8;0.3;0.3;1.3;0.4;1.0;0.5;0.3;0.3;0.3;0.3;1.0;0.3;0.3;0.3;0.3;8.4;0.3;0.3;1.6;0.3;0.9;0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3;0.2;0.3;0.3;0.3;0.4;0.3;0.5
% Durante;0.8;49.1;35.3;18.1;33.1;30.2;39.6;46.9;19.0;16.7;25.3;34.0;21.8;14.1;20.5;13.3;6.6;31.7;32.9;13.4;31.5;36.5;14.5;30.2;16.7;23.0;15.2;33.3;4.3;9.2;37.8;30.9;20.9;28.6;15.9;18.2;16.1;23.9;19.5;38.2;41.0;23.0;16.0;16.4;17.6;13.4;8.1;48.2;16.1;31.4;17.5;27.8;15.5;7.2;6.2;13.7;15.6;29.4;34.8;10.7;12.1;36.4;28.9;15.1;25.5;17.7;31.1;31.5;15.1;58.2;35.6;12.7;41.5;15.9;9.7;14.5;21.1;8.4;38.7;14.7
% Despues;53.4;16.0;43.6;15.0;32.0;32.1;40.2;32.3;16.3;35.0;11.3;19.3;23.1;16.5;34.5;31.2;6.0;52.3;18.8;17.8;25.0;14.1;9.7;13.8;28.2;6.5;15.4;35.5;13.2;15.6;34.1;32.4;17.5;16.0;16.2;15.9;13.8;12.4;17.0;40.5;27.7;18.7;24.2;16.9;33.8;14.3;7.8;49.9;11.6;32.7;16.2;35.5;12.3;12.9;16.6;13.3;12.0;14.0;40.4;11.4;17.5;32.4;13.7;40.4;14.7;17.0;14.2;16.0;15.9;30.0;31.3;10.0;25.1;15.3;12.9;12.2;29.0;16.6;41.3;12.6
Conexiones perdidas;0
