Tiempo de transaccion (ms);319;37;14;13;12;29;16;495;10;17;11;11;9;7;9;9;111;7;7;29;7;10;16;38;7;8;15;7;8;7;9;13;8;7;9;138;16;21;19;10;9;8;7;8;5;29;7;8;9;8;9;9;6;5;6;18;14;6;4;6;8;10;7;10;8;12;11;7;5;12;40;9;5;6;6;17;10;13;8;11;10;9;6;8;7;10;8;6;5;5;12;6;11;6;6;5;5;8;8;11;9;30;34;12;5;6;21;10;5;10;9;5;6;9;16;26;17;5;6;14;8;5;7;5;5;41;5;17;5;8;6;4;7;23;8;5;16;3;4;9;6;10;4;7;5;6;5;7;7;6;5;12;4;8;3;3;4;4;4;14;33;15;7;6;9;8;6;3;5;5;4;3;2;3;9;3;3;10;4;3;4;5;6;6;16;9;3;4;4;3;4;9;15;3;4;7;4;3;3;3
% Antes;0.0;56.7;6.6;30.6;36.4;39.1;49.7;21.2;46.0;50.2;26.0;36.2;78.7;42.9;16.5;25.9;52.5;239.5;56.9;47.6;35.5;42.9;43.8;26.1;34.5;24.1;36.7;40.5;34.3;32.8;39.8;28.0;34.9;19.6;28.4;16.9;37.6;21.4;24.2;19.2;29.4;27.8;4.3;27.4;18.1;25.2;13.8;17.8;20.5;24.9;14.4;26.8;25.7;29.4;1.8;3.4;3.9;6.2;2.4;9.3;2.9;3.1;17.1;3.1;11.7;1.5;4.2;5.8;1.9;1.9;17.6;26.0;23.5;20.6;16.4;1.9;5.0;3.3;3.3;2.5;3.8;10.3;1.9;2.3;2.5;3.1;5.5;1.6;1.3;1.5;11.3;6.9;1.6;17.6;3.4;1.4;2.0;4.4;23.0;2.7;1.5;5.1;9.4;3.0;1.8;1.1;2.7;2.8;2.4;1.1;3.1;2.2;1.5;1.7;25.6;7.2;8.1;2.8;1.9;1.7;2.2;2.6;12.8;5.4;9.6;3.3;33.4;6.4;12.3;6.6;1.9;8.0;7.9;1.5;1.7;3.3;15.2;13.4;20.0;19.2;0.7;6.4;16.1;13.4;22.4;15.3;14.2;17.2;21.0;10.4;1.3;23.7;4.9;1.2;2.5;8.0;1.4;8.8;10.4;1.3;15.7;17.0;10.6;16.3;18.2;17.8;22.9;7.8;1.3;14.2;1.5;6.8;1.2;1.2;1.3;1.7;4.7;1.2;1.3;1.3;1.3;1.3;1.3;1.5;1.3;24.9;19.6;1.1;1.5;1.2;2.3;1.8;6.5;4.3;1.9;3.9;1.4;6.5;1.3;1.5
% Durante;30.7;16.0;3.7;19.6;22.4;28.4;7.7;16.7;31.0;37.2;27.0;40.5;15.1;44.2;31.4;39.1;27.5;42.8;37.8;35.6;45.8;44.8;10.2;15.0;32.1;28.0;23.6;22.6;33.9;21.8;19.7;25.0;28.9;33.9;15.8;35.7;8.7;25.0;NaN;35.4;20.2;30.5;38.6;51.9;38.9;3.9;17.9;17.6;43.6;24.4;9.0;30.3;45.1;28.8;19.3;9.3;9.7;16.3;22.9;15.2;21.1;21.2;26.2;7.5;35.5;10.4;28.3;34.7;17.2;14.3;1.6;19.1;20.2;33.2;25.0;10.2;19.0;5.9;10.6;9.9;19.0;13.4;19.3;34.1;8.9;25.3;12.5;13.7;14.9;17.6;14.8;13.2;12.8;35.4;27.4;15.3;28.9;28.0;23.7;17.2;19.3;4.0;6.4;19.6;16.2;16.3;15.1;21.3;15.4;6.0;6.8;17.1;13.2;14.5;28.4;3.7;18.5;14.5;20.6;6.0;14.5;14.4;19.4;15.5;23.8;4.9;27.8;5.9;43.5;7.5;12.3;16.9;15.5;7.6;9.3;27.1;7.7;37.1;17.6;8.9;17.6;6.8;44.8;24.5;16.2;13.0;14.0;32.9;35.9;17.1;19.6;3.7;17.6;14.1;18.7;18.1;20.0;26.9;17.5;15.6;4.5;4.2;23.3;25.3;20.8;13.2;29.5;22.3;22.6;11.3;18.7;16.6;17.2;17.5;5.4;17.9;17.4;4.4;15.9;17.2;36.3;18.4;15.7;7.6;14.5;27.1;15.5;23.0;16.4;25.2;14.1;16.1;13.0;17.3;41.6;11.7;17.7;17.4;17.6;25.4
% Despues;10.0;8.4;14.0;19.7;19.3;14.8;10.7;27.9;29.9;23.6;50.0;38.1;31.8;69.1;46.9;40.8;51.8;60.0;33.3;24.4;23.5;11.4;10.7;19.8;23.5;14.2;4.7;29.7;16.5;22.2;14.9;32.1;46.8;16.2;29.5;36.7;39.2;40.5;29.6;22.9;48.0;64.6;37.1;39.0;49.5;12.3;14.6;21.4;41.9;81.0;16.9;16.0;26.5;33.6;16.5;5.8;11.7;17.0;22.7;17.2;34.6;24.3;14.5;27.6;29.4;40.4;37.6;38.3;18.9;19.0;22.9;20.8;28.0;29.1;16.5;3.8;7.3;17.3;12.1;9.6;29.6;15.4;16.2;53.2;17.7;18.7;18.0;15.5;24.6;44.1;15.3;16.3;4.0;28.3;11.6;35.0;40.2;42.8;18.3;34.2;42.9;1.8;2.1;15.8;16.7;8.8;10.3;23.7;17.4;18.8;9.7;14.8;18.6;33.2;30.1;5.3;14.4;13.9;16.7;7.0;13.9;33.7;29.3;22.6;17.8;31.3;31.5;45.7;34.3;19.2;15.7;19.5;14.8;4.4;12.9;31.7;19.1;19.2;17.2;14.1;19.9;33.7;42.3;20.3;18.9;17.1;16.9;31.4;31.4;11.1;31.3;18.3;16.2;38.3;37.8;16.8;15.3;38.3;20.0;25.7;2.4;6.5;12.8;8.7;33.0;22.8;15.4;27.1;22.3;18.8;39.4;16.4;17.8;18.0;17.5;35.1;15.7;16.7;16.8;18.8;14.0;14.6;9.1;11.3;20.4;41.8;19.7;11.4;17.2;21.0;18.6;26.6;14.0;19.2;40.9;17.7;19.5;18.4;17.8;28.7
Conexiones perdidas;0
