Tiempo de transaccion (ms);335;19;71;40;18;26;11;13;13;8;10;9;8;18;17;24;20;17;26;26;15;11;17;8;10;11;10;7;28;8;9;24;31;12;18;53;9;13;6;6;8;8;9;22;7;7;11;10;12;8;14;8;6;7;50;7;8;10;5;5;10;5;8;26;15;19;11;6;5;10;7;18;6;11;5;5;9;5;5;4;11;7;5;8;8;12;4;3;5;6;10;8;9;5;4;15;15;10;9;5;5;5;27;18;4;4;13;3;5;4;6;9;5;3;4;7;8;16;5;5;5;5;7;5;4;4;4;6;8;4;3;4;4;16;17;5;3;4;11;5;3;3;5;5;5;5;6;4;15;27;5;4;4;5;4;4;4;2;4;16;13;4;6;11;4;4;6;4;5;8;4;2;12;6;4;4;5;80;24;4;5;8;11;5;47;7;4;7;3;6;7;6;5;11;11;6;8;3;6;13
% Antes;0.0;70.5;31.9;36.6;45.8;39.2;34.4;43.7;34.6;22.4;17.2;28.7;13.4;43.3;28.3;22.1;24.0;27.0;29.5;16.3;13.2;31.0;64.9;57.5;30.8;23.2;41.4;37.8;33.5;26.1;47.8;36.3;21.0;13.5;12.4;7.6;24.0;40.7;31.8;47.0;34.2;66.9;31.0;37.5;26.8;23.1;14.1;17.0;23.9;89.3;57.3;39.1;40.5;21.8;12.2;32.9;45.5;21.0;2.7;11.2;8.8;3.2;18.0;2.5;9.3;11.5;6.9;2.2;1.8;2.2;24.8;23.9;10.0;3.2;2.5;1.5;1.9;3.7;1.5;3.6;1.5;11.5;2.0;12.5;1.6;2.9;4.2;2.0;2.0;2.1;1.8;2.6;17.6;2.2;10.4;1.4;23.4;2.4;1.6;2.1;1.6;1.5;1.9;20.2;19.9;1.4;1.5;11.3;1.6;1.2;1.3;16.6;1.8;1.3;1.5;2.3;1.6;1.6;21.3;17.8;18.8;23.1;3.1;16.6;1.5;12.8;11.5;21.6;22.6;1.7;1.3;1.4;1.3;2.2;19.4;25.0;18.5;1.3;10.3;10.0;4.5;1.4;1.9;1.3;6.5;14.1;1.4;19.9;1.5;22.6;11.8;18.5;19.7;16.2;17.8;4.3;16.5;3.0;1.3;1.1;7.9;2.0;1.4;8.4;8.8;9.5;1.5;2.6;1.6;1.4;1.6;9.2;1.0;1.8;1.7;1.3;1.3;0.9;7.0;12.7;1.5;1.7;2.0;2.0;1.5;12.7;2.0;1.5;1.9;1.8;1.7;1.7;7.4;7.0;5.2;2.7;1.4;20.5;1.3;0.8
% Durante;35.8;37.1;5.6;23.8;19.6;25.0;40.6;15.3;40.7;10.7;12.9;21.5;31.9;29.0;28.7;16.1;10.6;18.2;16.0;9.2;14.1;33.7;27.5;48.9;36.7;14.4;38.5;37.9;38.4;54.0;37.5;11.3;13.0;18.8;16.7;10.4;37.7;31.0;34.3;35.7;49.6;47.4;32.6;5.9;14.4;12.6;14.2;10.6;60.2;42.2;50.4;36.4;35.0;17.9;3.0;57.5;27.7;13.9;36.1;25.9;14.2;23.4;17.8;10.0;5.8;8.8;7.1;14.8;13.8;16.6;34.5;28.2;17.2;31.3;26.8;15.2;14.2;28.6;31.1;20.2;23.2;8.4;28.5;16.7;9.6;26.2;16.2;26.6;16.7;16.3;14.0;28.1;8.9;38.1;44.0;33.0;46.5;22.4;30.9;17.5;9.9;13.0;19.8;8.9;23.7;17.7;22.6;18.8;17.8;16.6;25.9;13.4;13.4;17.7;18.1;8.9;8.3;12.8;16.2;28.6;11.5;24.3;18.4;14.5;19.4;43.2;38.3;30.9;34.0;15.6;17.3;17.4;16.1;24.3;23.7;16.7;17.4;51.7;17.8;17.6;17.7;26.9;16.4;28.6;24.4;9.9;10.8;17.6;17.0;15.5;21.0;19.9;17.8;36.4;16.8;14.1;26.5;17.5;17.7;17.5;3.6;16.8;30.9;8.0;33.5;16.1;28.4;13.3;15.7;6.8;19.4;16.5;4.8;8.8;15.3;14.6;8.9;0.6;16.1;15.1;13.3;29.7;6.7;16.6;16.3;11.3;41.5;11.8;18.5;32.4;9.7;29.2;14.5;8.0;4.6;12.3;12.1;15.3;10.4;8.5
% Despues;65.4;42.0;20.3;37.3;36.4;15.5;43.8;23.6;41.3;27.4;27.0;30.2;59.2;18.1;11.5;11.1;10.3;24.5;51.1;13.0;20.2;49.0;37.8;36.1;23.5;36.6;49.1;30.3;34.0;30.6;28.3;12.1;36.4;21.0;18.7;16.5;14.5;6.7;16.2;42.9;63.8;29.1;48.5;27.8;16.3;15.4;16.4;27.4;43.4;79.3;30.8;32.2;68.3;24.2;13.2;53.2;55.0;27.0;55.6;47.8;13.0;32.4;13.0;2.6;15.9;16.3;16.5;18.0;39.1;31.7;44.8;35.3;15.0;18.0;22.2;17.8;10.3;18.7;41.6;17.7;12.1;23.9;33.2;26.9;18.0;13.2;15.7;18.5;16.8;7.9;15.1;31.6;34.6;51.0;17.7;24.1;22.8;29.8;28.1;25.7;18.2;14.5;22.2;12.9;18.3;18.0;10.4;39.0;9.8;18.4;37.2;18.7;19.2;17.4;12.3;33.4;14.3;22.4;13.3;41.2;16.6;23.4;36.7;17.7;17.1;33.2;20.3;39.5;6.8;18.7;32.2;19.4;15.8;16.7;6.3;29.5;18.4;42.8;22.2;39.4;17.7;18.7;18.0;37.9;22.9;19.0;16.4;19.2;20.2;24.1;37.3;19.2;22.8;18.5;19.7;18.4;15.4;18.0;11.7;26.0;17.8;14.4;35.6;11.6;33.1;17.0;42.6;16.1;15.7;14.9;41.9;18.5;15.2;14.7;16.3;15.3;17.4;3.2;22.9;17.6;15.6;14.0;7.7;16.7;11.4;10.4;31.7;14.3;18.5;30.1;12.1;29.4;45.0;21.6;14.8;11.5;23.4;19.0;18.3;10.9
Conexiones perdidas;0
