Tiempo de transaccion (ms);676;6;9;3;1;2;2;2;1;2;2;1;1;1;1;3;2;2;1;2;2;1;1;2;1;1;2;1;1;4;3;3;2;2;2;11;2;3;4;2;1;12;7;2;4;3;1;1;2;1;2;1;1;2;1;2;5;1;5;4;0;10;4;2;2;3;3;1;1;1;4;1;2;9;1;1;1;1;1;1;4;1;1;6;2;4;1;4;1;1;1;1;1;1;0;0;1;1;5;1;1;0;1;1;3;1;1;2;0;0;1;1;5;0;1;1;1;1;1;4;1;1;1;3;0;2;1;2;2;1;1;2;1;2;1;1;1;0;2;0;2;0;0;1;1;1;1;0;1;0;4;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;3;1;1;2;1;1;1;1;2;1;2;1;1;1;2;1;1;1;1;1;8;2;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;3;0;1;1;1;0;1;1;1;1;4;0;0;1;0;0;1;1;3;1;1;1;1;2;0;0;1;1;5;1;1;0;1;1;1;1;1;1;1;2;0;1;0;2;2;0;1;1;1;1;2;2;11;1;1;1;1;1;1;0;1;0;1;1;0;1;1;2;1;1;0;0;1;0;2;1;1;0;1;0;1;1;1;1;1;1;0;3;1;1;1;1;1;1;1;1;1;1;0;1;1;2;1;1;1;6;1;3;1;5;6;1;0;1;0;0;1;1;1;1;0;3;1;0;0;0;1;1;1;1;2;0;1;1;1;1;1;1;1;1;3;1;0;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;2;1;8;1;1;0;1;1;0;1;1;1;0;1;2;0;0;0;1
% Antes;0.0;48.9;21.3;30.7;27.3;25.2;41.5;42.4;47.1;37.3;12.2;31.7;21.9;19.9;51.9;43.3;32.7;29.4;31.2;45.3;40.2;42.1;40.3;19.4;28.6;22.2;23.1;33.9;52.2;47.3;17.2;36.0;16.7;11.4;16.8;10.8;10.1;11.9;16.2;8.0;13.6;10.6;9.3;20.4;15.5;10.9;13.9;18.4;6.7;1.6;28.5;3.2;1.3;1.8;2.0;1.8;4.6;2.2;2.0;2.7;2.2;1.2;8.8;8.9;5.2;2.5;1.8;1.6;1.7;3.6;2.7;2.1;1.4;1.9;2.5;1.3;1.4;2.2;1.5;1.2;4.4;2.9;1.4;2.4;2.3;4.7;5.2;1.3;1.9;1.2;1.2;3.8;6.6;1.2;1.6;1.3;10.8;3.2;1.0;10.3;5.5;1.6;1.2;2.4;1.5;5.8;1.4;1.1;1.2;1.3;1.3;1.1;4.0;12.3;1.5;2.1;2.2;1.1;1.4;1.2;2.1;1.9;1.4;1.6;1.6;1.9;2.1;1.7;24.6;1.2;1.5;1.5;11.5;18.4;1.3;1.9;1.3;1.2;1.2;1.2;1.1;7.4;1.3;1.5;1.0;1.6;1.1;1.4;1.2;1.2;2.4;3.3;1.8;1.3;1.2;5.3;1.4;1.3;1.1;1.3;1.4;5.3;1.1;1.1;2.4;1.6;1.0;3.2;1.9;1.4;1.4;5.8;1.1;1.2;1.5;1.2;2.5;2.2;1.8;1.5;1.5;1.2;1.3;1.2;1.5;1.4;1.3;2.9;5.3;1.5;1.8;1.9;3.2;1.3;1.1;1.2;1.2;1.3;1.2;1.3;1.4;1.0;1.2;25.1;11.5;2.3;1.3;2.8;1.0;1.0;1.2;4.3;16.6;1.4;4.1;1.6;1.0;1.1;1.1;1.2;1.1;1.2;1.1;1.9;1.2;1.2;1.1;3.4;1.3;1.3;1.1;1.4;1.3;1.6;1.1;1.1;1.0;2.6;4.7;1.2;1.3;1.3;1.5;1.2;1.3;1.4;24.0;1.9;1.6;1.4;1.1;1.0;1.4;2.7;2.6;4.1;10.4;34.9;10.8;1.7;1.1;1.1;1.2;1.0;1.1;1.5;1.1;1.2;1.1;1.1;6.4;1.1;1.0;1.4;1.1;1.2;1.3;2.2;1.7;1.5;1.5;1.3;3.2;1.0;1.1;1.4;1.1;1.1;1.1;0.9;1.2;1.4;1.0;1.1;1.3;1.0;1.2;1.0;5.3;1.1;1.1;1.0;1.2;3.9;1.3;1.2;1.3;1.2;2.3;1.8;32.5;25.5;25.6;23.0;33.3;20.6;1.1;1.4;1.1;0.9;1.0;1.5;1.4;1.1;1.2;1.4;1.1;1.1;1.8;1.1;1.3;4.6;2.0;0.9;1.1;1.4;1.1;1.1;1.3;1.0;1.0;1.1;1.3;1.2;1.3;2.5;1.4;1.0;1.2;1.0;1.0;1.0;1.0;1.0;1.2;0.9;1.1;1.0;1.3;1.1;1.1;7.1;1.5;0.9;1.1;1.0;1.5;1.4;1.1;1.3;2.0;2.3;1.1;1.3;1.0;1.1;1.1;1.1;0.9;1.0;1.0;1.4;1.3;4.6;4.3;1.3;1.0;1.2;1.1;1.1;1.0;1.3;9.2;0.9;0.9;1.1;1.2;1.3;1.0;1.3
% Durante;1.2;27.8;10.4;19.8;23.8;17.9;35.9;38.6;39.1;33.1;12.7;30.5;22.1;18.6;42.0;39.2;50.2;27.9;30.5;18.2;41.5;41.3;52.9;18.9;48.3;16.9;17.7;30.6;39.8;42.7;11.8;14.5;28.9;31.0;11.1;2.1;11.2;4.6;4.9;12.0;11.6;1.4;4.6;17.3;5.5;10.7;14.2;16.5;18.4;38.4;31.6;25.5;14.1;12.5;12.8;28.8;3.2;12.9;24.6;17.2;16.4;1.2;10.2;21.7;16.4;7.5;29.8;13.5;16.8;20.9;20.0;15.6;12.2;1.3;16.7;15.2;27.6;20.8;32.1;16.5;8.8;15.5;42.6;2.4;31.6;39.8;16.0;17.2;15.5;13.9;35.1;15.0;14.7;15.3;27.3;16.0;18.3;16.0;16.0;18.2;31.7;15.3;23.5;15.6;7.3;27.3;15.6;15.3;20.0;15.9;15.4;16.7;5.4;14.9;22.2;15.7;11.1;15.2;15.5;27.4;25.2;31.0;13.3;3.6;13.3;31.2;9.2;20.5;23.2;12.9;12.3;4.3;27.8;26.3;15.9;13.8;14.1;16.3;19.2;15.3;15.6;14.6;40.4;13.4;15.6;15.5;15.3;15.1;15.2;34.3;44.9;15.0;15.1;15.0;22.5;14.8;15.6;15.4;15.8;15.7;34.7;14.8;15.3;9.1;48.5;14.9;24.5;3.6;16.1;14.6;17.0;10.4;16.5;10.7;13.8;15.6;9.2;11.5;13.4;14.2;30.1;7.8;14.5;13.7;13.6;14.1;12.0;45.2;7.6;17.2;33.5;14.4;19.0;14.6;15.7;11.7;14.8;15.0;14.9;13.0;15.1;13.8;7.2;33.6;20.5;14.9;10.0;15.0;15.1;14.9;13.8;32.0;14.7;34.7;6.1;14.9;14.2;14.8;13.9;14.6;15.0;11.7;3.4;14.8;14.7;9.4;39.8;5.5;13.9;14.8;8.0;13.4;24.3;15.4;12.3;15.6;13.7;11.0;14.6;14.5;15.1;25.2;34.3;29.5;15.5;32.4;34.3;27.8;11.8;16.0;15.0;10.4;34.8;33.5;22.7;30.6;48.6;37.3;19.6;17.4;15.3;14.6;12.8;15.0;16.6;15.8;34.7;15.1;15.6;27.1;20.0;11.2;14.2;15.1;15.6;15.2;42.2;15.3;18.7;11.3;14.9;33.4;7.1;12.8;15.2;14.9;14.9;15.0;10.7;15.1;11.9;3.0;13.0;14.9;14.5;13.3;15.0;22.7;15.5;14.3;14.3;15.4;34.7;32.6;14.2;6.0;13.4;14.3;15.7;21.7;36.9;31.4;35.5;128.2;25.0;11.6;14.6;14.3;14.4;14.3;15.2;19.2;15.2;15.5;12.9;6.8;15.0;15.5;14.2;15.0;36.8;9.2;12.4;14.6;4.0;15.3;12.0;11.2;16.0;15.8;14.9;12.6;8.6;13.7;25.9;11.7;14.8;13.9;14.9;15.8;14.5;14.7;14.8;15.0;15.6;15.1;14.6;12.1;11.0;11.1;16.0;14.5;14.6;14.7;15.1;11.9;12.4;14.5;11.5;14.1;34.8;12.8;15.1;25.7;14.2;14.7;15.6;15.0;15.3;15.2;5.7;19.8;33.7;14.0;14.1;10.4;15.0;10.9;14.7;15.6;13.9;14.9;14.8;15.1;15.0;4.8;14.5;15.3;14.8;11.0
% Despues;47.1;45.4;7.6;15.6;37.6;16.0;43.2;22.4;45.5;15.3;15.1;14.0;15.4;43.3;38.4;41.0;35.2;52.4;21.3;46.7;41.9;56.2;27.8;11.4;28.0;16.7;24.7;34.5;23.4;16.5;38.4;4.9;15.0;15.0;11.9;2.9;9.8;11.5;6.7;11.0;11.7;8.5;2.8;11.9;11.5;3.7;13.9;26.8;23.3;15.5;35.8;16.6;10.2;9.7;27.3;23.9;5.5;16.5;24.8;2.2;14.3;6.3;12.1;15.3;31.1;11.9;43.9;13.0;15.1;15.1;29.4;12.4;16.4;12.4;15.8;16.1;23.2;17.2;15.8;14.0;10.2;15.8;13.5;35.8;35.4;35.1;16.4;3.1;16.0;16.2;37.3;28.8;13.6;14.3;14.7;15.7;37.5;15.5;23.0;34.7;15.9;12.2;34.2;25.4;6.8;35.0;15.3;12.7;16.2;16.3;16.2;35.1;11.1;14.7;16.1;26.9;16.4;14.1;15.3;15.5;9.5;31.4;26.1;9.6;17.0;31.5;9.7;17.9;15.7;15.9;16.0;10.1;16.8;30.4;15.8;16.3;16.5;17.5;30.7;15.9;38.1;14.4;15.5;16.0;15.0;8.4;5.6;16.5;16.2;27.3;13.8;16.2;16.0;7.4;23.8;16.3;16.2;16.9;16.3;15.5;35.4;15.0;16.2;15.3;31.9;15.3;39.9;26.9;15.4;15.4;29.9;17.6;15.9;14.7;17.0;6.7;13.1;4.8;11.7;15.9;17.4;11.2;16.3;23.6;16.3;8.4;11.5;30.6;9.1;16.4;32.0;26.3;15.1;16.3;16.0;10.5;16.1;15.6;16.4;11.7;16.4;16.6;12.9;34.9;18.0;15.6;5.8;16.2;15.7;16.1;16.1;34.4;16.1;34.8;39.3;13.7;16.1;7.9;16.1;15.3;15.8;16.3;15.7;14.8;15.1;15.8;37.2;15.7;16.0;15.5;11.9;15.7;15.9;15.1;15.9;16.3;15.6;29.1;16.9;13.0;5.9;7.0;14.9;20.6;15.7;32.0;22.0;10.8;11.9;16.7;15.3;11.2;12.9;36.1;25.4;30.6;43.3;33.1;19.2;16.2;16.0;14.1;16.3;14.3;16.2;13.8;18.6;16.0;15.5;34.6;16.5;20.6;15.7;14.6;16.0;16.2;29.0;28.2;12.0;12.4;15.7;28.6;11.0;15.6;15.7;15.5;15.5;16.0;15.6;15.5;16.5;15.3;13.5;16.2;15.6;15.9;16.1;28.7;14.6;15.4;13.9;15.9;34.3;34.8;15.8;14.7;14.0;15.4;16.3;27.2;29.3;37.8;26.0;8.2;29.5;10.1;14.7;14.7;15.9;16.5;15.7;12.3;16.0;12.9;14.4;16.4;15.9;15.8;16.1;16.5;31.9;26.2;15.3;15.6;11.6;15.0;12.0;13.2;14.8;16.2;16.1;11.4;16.8;10.8;34.8;6.2;15.8;15.6;11.5;14.0;15.2;14.7;15.5;14.7;16.0;14.8;16.3;15.4;11.8;16.6;27.2;15.2;15.5;14.8;13.8;28.2;11.4;13.5;9.1;16.6;34.2;15.8;15.5;14.5;15.9;15.2;15.3;15.8;15.4;15.6;15.7;12.6;34.1;11.4;15.9;11.2;16.6;14.1;15.4;15.6;14.6;25.3;16.5;16.4;14.3;15.5;15.1;15.5;15.7;27.7
Conexiones perdidas;0
