Tiempo de transaccion (ms);325;40;14;16;15;11;14;14;12;9;10;31;26;12;10;18;11;21;14;10;9;11;7;6;5;12;38;6;19;6;6;8;9;8;10;7;5;5;11;5;17;21;17;15;5;9;7;9;5;8;16;8;23;10;5;6;5;10;6;11;10;17;8;6;18;21;6;10;9;38;6;4;6;12;14;4;4;6;6;3
% Antes;0.0;12.6;41.2;25.5;9.4;14.7;21.0;39.3;21.1;29.1;17.2;28.6;11.2;12.6;8.5;3.5;3.4;1.0;24.1;18.0;3.7;24.1;24.5;1.5;2.5;1.3;3.4;1.6;2.2;1.5;0.7;1.2;1.9;0.7;0.8;0.8;0.9;0.7;1.3;1.3;1.3;0.9;0.9;2.8;0.8;0.6;0.7;0.7;2.7;1.3;0.6;0.8;0.8;1.0;0.7;0.6;0.6;0.7;4.6;2.4;0.8;0.7;4.1;1.0;2.0;3.5;1.0;2.2;0.7;1.0;15.6;12.8;0.5;0.6;1.1;0.9;0.6;1.1;0.7;0.7
% Durante;28.7;4.4;24.1;48.0;21.3;14.7;32.6;15.8;18.5;16.4;32.5;14.1;14.5;13.8;15.1;10.9;21.7;27.2;19.5;30.3;24.5;20.6;36.4;38.7;21.8;27.2;3.1;16.1;7.1;20.6;34.0;30.7;22.0;11.7;32.8;24.1;15.9;16.9;7.8;21.2;9.7;27.2;16.4;12.7;16.0;11.1;25.2;41.1;16.7;26.4;12.8;14.1;17.4;9.9;14.9;17.9;17.3;11.9;37.6;10.7;25.2;6.7;18.1;36.5;9.6;12.5;26.3;16.0;11.0;13.3;16.4;22.3;13.5;11.7;17.2;17.0;29.0;23.8;13.1;17.4
% Despues;29.2;29.0;31.5;22.9;33.9;37.0;40.1;9.7;33.2;17.3;28.5;14.8;3.7;14.1;23.5;7.0;19.4;37.8;19.9;26.0;26.1;35.8;38.5;37.2;30.7;24.2;2.7;25.8;19.4;17.6;18.2;38.5;18.8;19.7;29.6;17.8;18.3;20.0;15.3;18.3;10.1;8.0;14.5;6.0;12.1;11.4;12.8;37.5;16.8;7.8;3.0;19.5;7.9;28.3;16.3;18.8;22.2;19.7;37.9;10.7;6.5;28.5;8.6;37.6;33.2;3.2;34.8;7.9;25.5;19.0;16.9;17.8;19.5;9.4;6.0;13.2;22.2;13.4;23.4;18.7
Conexiones perdidas;0
